Zona;CodProv;Year;Population;Populated Area (km2);PM10 population weighted average (ug/m3);PM2.5 population weighted average (ug/m3);PM2.5 premature deaths (ref = 0 ug/m3);PM2.5 premature deaths - lower CI (ref = 0 ug/m3);PM2.5 premature deaths - upper CI (ref = 0 ug/m3);PM2.5 premature deaths (ref = 2.5 ug/m3);PM2.5 years of life lost (ref = 0 ug/m3);PM2.5 years of life lost - lower CI (ref = 0 ug/m3);PM2.5 years of life lost - upper CI (ref = 0 ug/m3);PM2.5 years of life lost (ref = 2.5 ug/m3);NO2 population weighted average (ug/m3);NO2 premature deaths (ref = 20 ug/m3);NO2 premature deaths - lower CI (ref = 20 ug/m3);NO2 premature deaths - upper CI (ref = 20 ug/m3);NO2 premature deaths (ref = 10 ug/m3);NO2 years of life lost (ref = 20 ug/m3);NO2 years of life lost - lower CI (ref = 20 ug/m3);NO2 years of life lost - upper CI (ref = 20 ug/m3);NO2 years of life lost (ref = 10 ug/m3);O3/SOMO35 population weighted average (ug*days/m3);O3/SOMO35 premature deaths;O3/SOMO35 premature deaths - lower CI;O3/SOMO35 premature deaths - upper CI;O3/SOMO10 premature deaths;O3/SOMO35 years of life lost;O3/SOMO35 years of life lost - lower CI;O3/SOMO35 years of life lost - upper CI;O3/SOMO10 years of life lost
Girona;17;2019;743150;2000;16,9;10,4;394;260;517;301;4259;2807;5588;3256;15,6;13;8;19;204;143;82;205;2200;6536,3;34;16;50;116;380;184;562;1299
Granada;18;2014;919687;1311;23,9;12,8;553;365;724;448;6406;4233;8386;5190;18,6;21;12;31;345;247;141;354;3997;6746,1;40;19;59;0;484;234;717;0
Granada;18;2015;918449;1311;28,7;17,9;815;542;1062;706;8806;5850;11470;7629;7,3;6;3;8;51;62;35;88;545;7157,6;46;22;68;0;511;247;756;0
Granada;18;2016;918262;1311;27,3;16,6;737;489;961;631;8283;5496;10802;7088;18,2;59;34;84;339;661;380;944;3804;6328;39;19;58;0;455;220;674;0
Granada;18;2017;920000;1311;28,3;16,4;755;501;985;645;8153;5409;10634;6964;19,6;94;54;134;406;1013;582;1445;4380;8323,9;53;26;79;0;595;288;880;0
Granada;18;2018;922579;1311;25,2;12,6;590;390;772;476;6376;4213;8347;5147;17,9;69;39;98;344;741;425;1058;3717;7953,9;51;25;76;0;573;277;848;0
Granada;18;2019;928088;1311;28,9;14,9;696;461;909;583;7524;4984;9828;6305;17,7;74;43;106;338;805;462;1148;3649;7980,2;52;25;77;161;579;280;856;1803
Guadalajara;19;2014;255819;907;16,2;8;97;64;128;67;1130;743;1486;782;15;0;0;0;62;0;0;0;720;6411,8;11;5;16;0;128;62;190;0
Guadalajara;19;2015;255475;907;17,4;8,4;110;72;144;78;1186;780;1559;839;7,4;0;0;0;4;2;1;3;42;7368,8;13;6;19;0;146;71;216;0
Guadalajara;19;2016;255423;907;17,1;10,5;132;87;173;101;1478;975;1939;1133;17,8;15;9;21;94;168;96;241;1060;6749,4;12;6;17;0;135;65;200;0
Guadalajara;19;2017;255907;907;18,9;11,4;148;97;193;116;1593;1051;2087;1251;18,4;20;12;29;105;221;127;316;1131;7216,7;13;6;19;0;143;69;212;0
Guadalajara;19;2018;256624;907;18,1;10,2;133;88;175;101;1441;950;1891;1095;16,2;5;3;7;81;55;32;79;880;7151,3;13;6;19;0;143;69;212;0
Guadalajara;19;2019;258156;907;18,2;9,3;124;81;162;91;1335;879;1753;984;12,7;0;0;0;43;3;2;4;470;7376,2;13;6;20;42;149;72;220;470
Huelva;21;2014;521929;554;21,3;11,6;286;189;375;226;3317;2189;4347;2622;12,3;0;0;0;56;0;0;0;649;5143,2;17;8;26;0;210;101;310;0
Huelva;21;2015;521227;554;23,5;13,1;345;228;452;281;3727;2464;4876;3040;5,3;0;0;0;5;0;0;0;55;6601,6;24;12;35;0;268;129;396;0
Huelva;21;2016;521121;554;22;11,6;297;196;390;235;3341;2205;4378;2642;12,7;0;0;0;74;0;0;0;829;6399,3;22;11;33;0;261;126;387;0
Huelva;21;2017;522107;554;26,9;12,4;327;216;428;263;3530;2332;4623;2838;15,8;8;4;11;144;83;47;119;1551;6455;23;11;35;0;262;127;388;0
Huelva;21;2018;523571;554;19;7,2;194;127;255;127;2093;1375;2755;1373;12,8;0;0;0;80;2;1;3;862;6385,9;23;11;35;0;261;126;387;0
Huelva;21;2019;526697;554;18,1;7,5;203;133;266;136;2189;1439;2880;1465;12,8;0;0;0;80;0;0;0;865;6031,7;22;11;33;84;248;120;368;941
Huesca;22;2014;226294;1061;16,1;8,7;94;62;123;67;1084;713;1425;777;12,2;0;0;0;30;0;0;0;352;5141,1;8;4;11;0;91;44;135;0
Huesca;22;2015;225990;1061;17,2;9,9;114;75;149;86;1228;809;1612;925;8,3;0;0;0;1;0;0;0;13;5766,1;9;4;13;0;101;49;150;0
Huesca;22;2016;225944;1061;14,2;7,9;88;58;116;61;994;654;1307;684;12,5;0;0;0;34;0;0;0;379;4805;7;4;11;0;85;41;126;0
Huesca;22;2017;226372;1061;15,3;9;104;68;137;76;1121;738;1473;815;11,5;0;0;0;26;0;0;0;283;4777,5;8;4;11;0;84;41;124;0
Huesca;22;2018;227006;1061;14,5;8;93;61;122;64;1005;661;1322;694;11,2;0;0;0;24;0;0;0;258;5147,9;8;4;12;0;91;44;135;0
Huesca;22;2019;228362;1061;15,4;8,2;97;64;127;68;1045;687;1374;732;11,8;0;0;0;30;0;0;0;325;5879,5;9;5;14;35;105;51;155;387
Jaén;23;2014;674105;685;20,4;11,1;353;233;463;275;4090;2698;5363;3190;17,1;0;0;0;207;0;0;0;2402;7010,1;31;15;45;0;369;178;546;0
Jaén;23;2015;673197;685;26,1;16,2;543;360;709;462;5865;3889;7654;4994;8,5;0;0;0;14;0;0;0;156;8097,6;38;18;56;0;424;205;627;0
Jaén;23;2016;673060;685;24;14,6;478;317;625;399;5375;3559;7025;4489;15,5;11;7;16;169;128;73;183;1901;7192,9;33;16;48;0;379;184;561;0
Jaén;23;2017;674335;685;25,6;14,9;504;334;659;423;5442;3604;7110;4562;17,5;22;13;31;232;238;136;339;2499;9047,8;42;21;63;0;474;229;701;0
Jaén;23;2018;676225;685;21,8;10,7;370;244;486;286;4001;2638;5249;3090;15,2;6;3;8;168;61;35;87;1812;7984,1;38;18;56;0;422;204;624;0
Jaén;23;2019;680263;685;25,3;12,8;441;291;578;357;4768;3151;6242;3863;14,2;2;1;3;138;23;13;32;1486;7942,3;38;18;56;118;422;204;625;1316
La Rioja;26;2014;324831;521;17,3;10,3;159;105;209;121;1842;1214;2418;1407;14,7;0;0;0;69;0;0;0;796;3858,5;8;4;12;0;98;47;145;0
La Rioja;26;2015;324394;521;16,8;10,3;171;112;224;130;1841;1214;2416;1407;8,9;0;0;0;6;0;0;0;65;4440,9;10;5;15;0;112;54;166;0
La Rioja;26;2016;324328;521;14,5;8,4;135;89;178;96;1519;999;1996;1075;13,9;3;2;4;63;34;19;49;708;2551,3;6;3;8;0;65;31;96;0
La Rioja;26;2017;324942;521;16;9,3;154;101;202;113;1663;1095;2184;1224;16,3;15;9;21;98;161;92;230;1056;3434,4;8;4;11;0;87;42;129;0
La Rioja;26;2018;325853;521;16,5;10,2;171;113;224;130;1845;1216;2421;1405;15,8;13;7;18;92;138;79;197;991;4233,2;10;5;14;0;108;52;160;0
La Rioja;26;2019;327798;521;16,8;9,3;156;103;205;115;1688;1111;2217;1242;14,5;4;3;6;74;48;28;69;798;4549,8;10;5;15;47;117;56;173;521
